k,u,omega
111.000000,0.800000,1.284722
112.000000,0.800000,1.298611
113.000000,0.800000,1.305556
114.000000,0.800000,1.319444
115.000000,0.800000,1.312500
116.000000,0.800000,1.319444
117.000000,0.800000,1.333333
118.000000,0.800000,1.333333
119.000000,0.800000,1.326389
120.000000,0.800000,1.333333
121.000000,0.800000,1.340278
122.000000,0.800000,1.340278
123.000000,0.800000,1.333333
124.000000,0.800000,1.340278
125.000000,0.800000,1.347222
126.000000,0.800000,1.333333
127.000000,0.800000,1.340278
128.000000,0.800000,1.347222
129.000000,0.800000,1.340278
130.000000,0.800000,1.340278
131.000000,0.800000,1.340278
132.000000,0.800000,1.347222
133.000000,0.800000,1.347222
134.000000,0.800000,1.340278
135.000000,0.800000,1.340278
136.000000,0.800000,1.347222
137.000000,0.800000,1.340278
138.000000,0.800000,1.340278
139.000000,0.800000,1.347222
140.000000,0.800000,1.340278
141.000000,0.800000,1.340278
142.000000,0.800000,1.347222
143.000000,0.800000,1.340278
144.000000,0.800000,1.347222
145.000000,0.800000,1.340278
146.000000,0.800000,1.340278
147.000000,0.800000,1.347222
148.000000,0.800000,1.340278
149.000000,0.800000,1.340278
150.000000,0.800000,1.347222
151.000000,0.800000,1.347222
152.000000,0.800000,1.340278
153.000000,0.800000,1.340278
154.000000,0.800000,1.347222
155.000000,0.800000,1.347222
156.000000,0.800000,1.340278
157.000000,0.800000,1.340278
158.000000,0.800000,1.347222
159.000000,0.800000,1.347222
160.000000,0.800000,1.340278
161.000000,0.800000,1.340278
162.000000,0.800000,1.347222
163.000000,0.800000,1.347222
164.000000,0.800000,1.340278
165.000000,0.800000,1.340278
166.000000,0.800000,1.347222
167.000000,0.800000,1.340278
168.000000,0.800000,1.347222
169.000000,0.800000,1.347222
170.000000,0.800000,1.340278
171.000000,0.800000,1.340278
172.000000,0.800000,1.340278
173.000000,0.800000,1.354167
174.000000,0.800000,1.340278
